audio_filepath,ref,hyp_greedy
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003265.wav,गरिस मण तो कलाकार हतो तो डिरेक्टर हतो त्याचे तियात मका खूप आवडता आणि तो माजो मुटल्यार आवडतो कलाकार जाऊन असा ताचया बरोबर आव खूपशेय तियात केल्या आणि लंडनां पासून वचून आव तियात केलल् असा आणि कातारा मुटलली असा ताचाबरोबर लंडनाग ब जाल्यार तस तुमही गोवाड भ बाग घेतला असतल वगोक,रिसम तकला कार हतो आडरतरातो त त त त त त त त त त त त त त  त त त त म क   क त त त क क त त त क  त त त त क त क त त त त त त त   क त त त त क त त त त त त क क क त त  त  क त  त त त त त त त त  स त त त क त त त त त त त तत म त प  स त  त क त सत त क त  त क त त त म त त त त त त क त त म प स त त स त त म त त त क त त त त त ा त कलया असा आनी  ता ता र म क त त त स त त त प त त त  त त त त त त त त त तलंन बि जलय तस तुमी त त  गे डी बा गेतना सतलन  क त  तत त त त त त त त  त त त पय आव त त त  ग त क प त म तत
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001475.wav,मासलादार आनि तेंगी कोबयाचे बालचाव पदार्ताचे वरणन नुस्तया थाली पारंपरिक गोचे नुस्त्या माची थालीचे भर दिवप जातून चड करून दर्यातलये तरकवेर पदार्ताचो आसपास सता आनी जेवन खुप रुचिक करता सीफुड तांडूल कोयात लोकप्रिय अशले रुचिक आी सुगंधी दर्यातलया तांडलाचो पदार्ताचे वरण,ासाजार आणी स स स प त  त त क पा का  स क क क प  क क  क स क क स त क  क त क त क  क क स क क स क क स क क क प स त  क स क क क क  क  स त क प र क ज त क क  पुस त   क क  म ज  त क क  काज चे बर दीव प क क क क क जाकू चड करून जरय ता तारा पेरपादाताचो असपाव जाता आणि जेवड कूबस मुजी करता  श्री पोरता लो गोय लोपरी आशिल्ले मूची आण सुबकि धरयाता ताला त पोदाकाचे मरना.
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002688.wav,मगीर ते आमी सातांग आमच गजोलीन येतल नरय दिवाडीत पणज सपक ते म कसकरप कोताली शटं टाइपिंग सिंतली पसतंगजलीन दरु  सत ाइर उपर एक र लगतप पज पर स्टप लल र सरसटप दिवाड सर सटप मला े सटप पणजी,ागीते आमी सातान आमचे गाजुलनयेतले न त सक म त त म त क  क म त म स म स त क क क क क क स त क क स क  स क क क क स स क स त क स त स  क त  क  क त त क स क स   क क स  स स  क स त स क क म क क क क क क स स स  स क त  क म म  प ली त क स त त म की त म सतन त ब  स स स स स त म स त स त स स  काच गी दरू गज साता के टा मर परा मागीरम म  कर लताल आमका पवपा पडगी पगीहस्त पलेल वाचे दुसर अस्त व प दिवाडी दिसरेस्त प मडव चतेसत पणगी
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000991.wav,गुड व्निंग आज मका बेटपाचे वेळ दिवपाक तुमका उपकार हाव खरखच आबारी असा मजे नाव उला फनड हाव ुो मुलकत ेता तुमचो संगीतकार मु प्रवास तुमचे अनुभव ी आणी प्रेरणा शिकाक व  ंटरव्य ेता कारण े म ेका,गुड गनी आज माका वेपाचे  वत त त द क त ता त त त त  ता त त क स त म त क त स त क त त त त त त स  त त स तत स  क त त स बाी त त स त त त त त त मजे ता व व ता स म  त क  सत त त त त  हाव   स स त त त त तुजो मलाकत केता तुमचो सगीतकार म प्रवास तुमचे आन बचेनी आनी प्रेना शिकपाहावेली हिंदली गेता कार हि मझी आयसीचे कार
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002295.wav,ूज तरो महताे जात दुसा एकरुग वोता  मझ बाबती दुस ेचत िती पयूििेकफरेंडशमका तजखउलॉकु,ज्रो मताक जता  दुज      ु      पल  ा  कवफ वीमका सगळा ुे जताआवपउोतता आपलेम वाकूयशबकर कर
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003691.wav,वेष लकापनम ाख  आ करसव  ा पन,चे ोे  ुलकाे मज                 क                          क  प    क ी    किते कज ते द बिवीका   ा पे मी नपच आच कड वी कपपा
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002399.wav,आु् ा परेणदिव म,<unk><unk><unk> आ दु<unk><unk><unk> <unk><unk> आ<unk> <unk><unk> <unk> <unk><unk>  <unk><unk> <unk> <unk><unk> <unk>  <unk> <unk>  <unk> <unk><unk><unk> <unk> <unk><unk><unk> <unk><unk>  <unk> <unk>  <unk><unk> <unk><unk> <unk><unk><unk><unk> <unk> <unk><unk> <unk> <unk><unk><unk><unk><unk><unk><unk><unk> <unk><unk><unk><unk><unk><unk> <unk><unk><unk><unk><unk> <unk><unk> <unk><unk><unk> <unk> <unk> <unk><unk> <unk> <unk> <unk> <unk><unk> <unk><unk> <unk> <unk> <unk> <unk> <unk><unk><unk> <unk><unk><unk> <unk> <unk> <unk> <unk><unk> <unk><unk> <unk> <unk> <unk> <unk><unk><unk> <unk><unk> <unk> <unk> <unk><unk> <unk> <unk> <unk><unk> <unk><unk> <unk><unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>  <unk><unk><unk> <unk> <unk><unk> <unk> <unk> <unk><unk> <unk> <unk>   <unk>  म<unk> <unk><unk><unk> <unk> <unk> <unk> <unk> <unk><unk>  <unk> <unk><unk> <unk> <unk> <unk> <unk><unk>  <unk><unk><unk><unk> <unk><unk> <unk><unk> <unk> <unk> <unk><unk> <unk> <unk> <unk> <unk><unk><unk> <unk> <unk> <unk><unk> <unk> <unk>  <unk> <unk><unk> <unk><unk> <unk> <unk><unk>
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001910.wav,तेंका ते जवण चये आवडता आमी चो करून चवतिक तंका आमच्े जवाफय तंा  वाखोश येताि दुसऱ् ेिे आमच्या िंदच वो चो करून  ता ो करत ताा वखआव पारंपारिक तकशीा जा,तका तया जवणाचाव आणी चोड करून चत ते का त त त  त म क क  क क  त  त   त    त   क क   क  त त क त   त   त त क त त  त क त त त त त त त क तक त त त म क  त त क क त  त क त त त त   म च ह  म त त कत ज  त त  त क स त करून त ता क त त ज मत प त क त त त क त  त क क म त क मत ज  क त  त त  फ प त प त े म   क  त लक    त क
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002280.wav,फक्त मोब पटॉप सटाग्रम फसबुक आहॉसआताूब जां सोता बुरे ल गालता आता तो बुर्यांचो  खेव असदस को खूप   केलेली अस आताची बुरी सळ पले,कतुबालको इ्टाकरवस पेू                                         सुकता बु         र ता     आताो भुरग्याचो  सातुकरे दसता क फलबन पल म  पार कब लाचे  ली सा आताची भुरदी सगळे आपल्या भारपड
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000607.wav,सो क्ेंना फुललां भी दिसता न ा गुरुपा भी असता    कतत,ुकेंदफुडल दिसतालत गड प सतक कापा क                क        क  म ाची स कपेी मक व ी कजस ब किसगड वज  च ती तेकाप वझ जकताकना मुरजाे रगा आी त बबोता गा हितलवडा ण कके  बक मुमेज
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002530.wav,रजेो ससरका बवासुकदारननकज तच खाककरक व नेव,करतची परज                                        म ीरतानत म   आ मका तस नताम  कता जातच खमत ज प कर व
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003846.wav,वर्स लेल त्याचया घराण असताते जेव आणि ाी गळी वता जवपा व गळी बाला वताी राणपाुका व पड ण  ुका अस असतल आणि त अस म्हणजे किे ो ावाअसेवडअ,सल तच मदन असतत जेवआ त सा                        प     तुसस <unk>   सक      क मी  <unk>    तप
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000083.wav,दुसऱ्यांची कालजी केवपाक शिकयतात खरे इष्ट आमी विचुन काडील्या कुटुंबा सारखे अशे माका दिसता ते आयकतात गरज वेळार पावतात जीवितांत वाडपाक आमका आधार दितात तुम का कित्याक दिसता इष्टागत महत्वाची,दुसऱयांची काची खेवपाक शिकयता ख स त स म स म म म सा  मा त ता क स सा त म त मा म मा मा त त म म स म स म त त म स त क म म म सा मा म स म म म त मा ता स ता म स स म ता मा म म  स मा स स मा मा मा त म कद क त ता स म म गर चा म त त म म म क पावता क जे वत ता स म म बाड पा कक आमका क तार तितत तुम का क ताक दिस ता इस्टाकत मतवाची म म म म का
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001817.wav,असनाच जाची पडव खकासक कपुदुवपलसट,सनाच जााचीता क        ी तम शक मताोआी मा अस दी ताा मतोकालतापसितुकला लाजलारत तप्रस  त
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003815.wav,हा छुतीका कशी असा गोतो घराती ळी  असा  ा रे असा तू कशी अस तु्ाराीळी री असाळीतयारी झा म चौतीची तयारी सपता ा ालू करत एकादिसापिलीसपाळरातेक बिे काम  चालू झात पणते सपनानू किते पैिली मे मे,आचका कशी असाव तो तातल  स स  त  स त  त त त क स त त स त ब त  स त त त त  क स त क  म त क  क क त त कक क त क क म कत त क त त त त स त त त स क क त त त त म क क त तक त त त क त त त क स त  त क क  त त स क त त क त त त त त ता त म क त त त त त  सती क त क त त तत स कता त त  केना सन तत बरतो  स त त त एका दिसा पली सप गेझ त म त त  त  स त त त  म त त त स त त त म त क क स क क ससता   त त त त त त क ते डे करिशे मचे काम ब स साल ख पुदा समन न   सिते पली मी म णक
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000386.wav,नगते असत ाज,नगते अस्त आड कगास  बुरग वड ी
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001948.wav,पावसात एकतर ड पडताी ड रोपखा ल  या,पावसता एकत चड कडताल मी डता पा        क मपाी पकी  क पा शेताता बनत करता झा ता ुची लस गता बर जनी सेस कन दोतामा जसावसवपाज  म
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003766.wav,जी बेळगाव आणि कोललापूर्या जाग्यांचेर पावला आणि हणे total seven nationals केल्या तातुतली मजी पाच glenmारक nationals अशीलली तीन हवहे बालीवाडी पुणे केल्या एक bnगlor आणि एक गुजरात आणि जी दोन असा ती scool nationals केल्या हवे दोनही देली ताल कटोरा stadiumा झाल्या सांगलआहे की तुका पेवपाक ब्यावटता तूाणपणयातल्या पेवता पणआणि अशे किर्ा असा तुझे hoby म्हल्या  व्यापार आणि किरया करता कराकिडे तू पेवाप सोडले आल्याmaorityotime,आण क ा                                     वप    <unk>      ि झ  म प    <unk>  सुल
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002741.wav,शत रपाचे ल रत गयक पली वल ुउउोज शत क ू ुोतपली दुता,ो आम कजारा कता                                                     म कश कता   च पल बुरकल दो  मचुच ु  जआि  कजय तिल शक त आि  फुक ताम प दुता
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001849.wav,नातल्ा पेण घेऊन हुत पारंपरिक माध्यमावा डig साधा अशा विगवेग्या माध्यमाोआणि तंत्राो परोगकर he वf tवेगवेगा oेोअभयासकर हय तर तुमही थeed सगळे वापडतात तर   तर आता तिसऱा प्रश्न असा माझो anmatिं करचेपैली तुमही खणचे संशोधन करतात एकमहत्वाे पलमoदिवपाो े अिो,नतल्या पण गेवन हातुत पर पानक मा त म मा त  त त त त त स त त त त त त त त त त त त त त त त त त त त त त  त त त त त त  त त त त  त क त  त त त त त त त त त त त त त त त त त त त त त त त त त त त त स त त त त क त त त त त क त त त त त त त  त त त तत त त त त  त  त त त त त स त  त त त म त त त त त त त त त त त म प त त  त  त त त त त क त त म त त त त त त त त त त  त त त त ता त तस त प तश त स म त त त त का त म त म त त त त त त त त त क तचा पतत त त मत कम च स त स त त क तता त तत  त त त त त  त क मत त प म ता व त म तय त त त म स त  त  प त त त त त क स त त क  त  त त
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000228.wav,शितुमी तुमचा सापरे जेव कशी तयार करतवळहतीआ बाजर ुलउकडेसी,शि चमतश सेी जुुमी तुमा सणा पर जेवणा कशीव ुम जाराुकणी मि देवन स्तपाे घनकरून दलतुमचा टमुम
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002899.wav,ते एक बरी गजाल की ते तशेच उलले बरे दिसता पोडवपाक ेआमच्या जांत्यांनी केलले आमही फॉलो करता आणि थोडे व्यवसाय मळयार आमचा गोयचो पाढेली दर गवणे मागी नुस्तेकारीन फुला विकपी अशो खूपशो गजाली हा जो अजूनी पैदीचा लोकांनी जे केलले असा,तत बरी हजार की त तता स त म ज त त त त म  त द स त ता म त क क क त म म क त क क क क क म क म क क क म क  क म त त त क त त म त त  क  त त म म त क क त क क स त त म त त क त क त क क त त त त त त क त म  क क ता मत क जा म ला  त म त त त  क त त त क त क क त त आम च गोय च पाडेली  तर गोगडे क त म म मगी निस्ते कारी म त क फुलाविटपी पशो खूपश कजाली ह म ज कजनी पयलीचो लोकानी जे केलला असता क क
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003640.wav,सो चालू दूवरचो आन लोकाकातीर वावरचे ही आमची मागनी देव बरे करूतुमही आमचीन माहिती गेतलया बद्दल तुमका चडानीचो देव बरे करो,सो चालो दोरचो न लोक कातीर ववरच ह मच मग                            त क       गो आनिो देव बर
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001642.wav,पोयले ना आलोनी ी ब आत दुसा लागन आनी ओलड ब त मेली आता  ऑपरशनु केला फमल सातक लगो आत बार जान हा सो इतु सुनभी पोसपा जाय तो काम पटनो तेंक शकोन जेवण गालपा तंक नावपा आनि शकोन पासे रपा जायतेक काम असता,पले नायटी आली सू म त त क त त त त द क स क त  क  त त त त त क त त त त क त क त त त त त त त क त त क क त स क क स त क क त क त त त त त क त त स त त त त क स त ता त स त  त क त स सा  क त क त क त त त त त त त स मे सा त क क त त त क त त त त त त त त स त बा जा न मस एक तो सड बीए पोसपा जायत काम पडलो  तगकेस कन ज वड कार पा  त क त नाव पा त त त त त त आणि  एसतो पा स हरपा क  जायते का व सता  त त क
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000574.wav,बिारजेबॉस असतलेगिकसतले मजवआम रेडीकरूनबिक,े सक तली  जक प क जल तप क  जश किम चल त क
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001338.wav,शेडाडशंआशचडाज,चो शेडवता दरू म का त त क त क  त तत क म त कत त क त त त क त क त त त त त त त त त क तत क त क क त त क त क त त त  तत क त त त क क क त त क त  त त त त त त त  क त क त क त त त त त त त त त त त त क स  त त त क  तम त त त त त क त प क का त मात सली  लची पडताे त  त काती बर जत ताका त त पग कपललो शम लोगा कलक बर जा तता तेेवडया  त ता त व एका त क क क क
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003026.wav,आ मगीर तची ेकजरक,मगीर ताच ेवज व        प उप पर प प मर ल तक ल क   सकत त
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000424.wav,सार्कोस असत आयुरवेद शरीरातले दोष बॅलंस करून शरीर रोगमुक्त करता ताका लागून प्रत्येक रोगाचो उपचार वेगवेगळो प्रकारचो असता सांगपाचे मडल्यार आयुरवेद हे संतुलन आणि निवारण आणि आधुनिक वक्ता हे रोग आणि उपचार असो हो मोळावो फरक दिसून येता,र सारको आअसता स स व त म त त त ता ता स सा  त त ता त मा त त त त स ताा ता ता त त कत त का स ता स का क सा ता ता ता त ता सा त त त त त स त त  म त त क  स त ता मा ता ता त त त त त सा दवून पतत क त का चे खत ता त त ता ता त त म वेस मे  व का  सा त त  प्रकारचो आसता सांकाचे मडल्यार आायवेर हे संतलोन आणी नीवारण आणि आदुनी मोकता  हे व आणी खुपचार असो हो म स  व फरक दिसूनेता त
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001090.wav,ते जे आम्ही ते  ते sण एक साजर करपा खूप उमेद असता नाही so ह दिवाळी चवत ेली क्ा आमका उमेद जाता तरण एक प्रथा असतात आमका ते दिवाळी ओवाळपाची मsरंगओवळ चडयाभुरग्यांओवळपाची घरा गोळधोळ करपाचे लoकांगआपपाचे हे एक आमका एक उमेद कशी अह आता ह आता आमका सांग ह जे आमचे नुसते मारपी असा वा विकपी असा तुकाकिे,त क ु ककता क आ ुते मप   तुक
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002092.wav,फसकालच उट पुतुन प्रक्टिस  का गउतफटब तुक ुस सपरटकाप  िकाराआजख,स कच उ   त <unk> <unk> <unk> क क <unk> क <unk> त क क क <unk> <unk>  क <unk> क  क <unk> क <unk><unk> <unk>   क क क क  क क <unk>  क <unk> <unk> <unk> क  क क <unk>   क क <unk> <unk> क क क क <unk> क <unk> <unk> क क क क क  क <unk> क  त क <unk>  क क क क <unk> <unk> <unk> <unk> क  <unk> क  क  क  क क त क त क <unk> क क क क क   क क त क क <unk> क <unk> <unk> <unk> <unk> <unk> क क क स  <unk> <unk> <unk> <unk>  स <unk> त क  क <unk>  य  क   <unk> क क दु प प त <unk> क त क त  क क क क क  क क क म क   क क  त  क त क <unk> <unk> क क  क फ   क स   त <unk> म त  त म क क  क <unk>े त त   <unk>  स  क क क  त क म <unk> <unk> <unk> त  क  ता म क <unk> क क क क क त  मक
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001973.wav,तपरवरुक परुाोोु रका,क प्रशनवप मम बु पर वसककश ुकला
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003142.wav,जावपाचपावसाच्या दिश की जेंना व असत  वताच्या दिशा छोड पावे निसरत मटला iजरy जावपा छोड चांी असते तिून जे मका biक ा न oky आता फुtबaलाच्या विषयाचेर आम्ही खूप उल उलल आणि आता आम्ही दुसऱ्या tॉpiकचेर फुडे वोचोये आमका मका खबर आहा की तुका गाढ ये लाiकe o,जावपाचे पावसाचे दीसा की  ते न त सत त त त त त त त त त क स त त त त  त त  त त त क त त  त त त क क क त  त त त क त त त  त त त  त त  त त त तत त त त त क त त त क त क त त क क त क त त त त त त त त त त त क क त त त  त त त त त क त त त त त त त त क त क त त त त क क त त त त त स त ब त ता म त  त त म कक लता त त  त ततत क त क क त त त त त क क त त क त त त क त त त त त क त त त त म त  <unk> क त त त त तता त त त त त क क <unk> क त क त तत त त त क त त त क त क  क त त मका क त क त कर  क त त का त क त त त त त त त त क त त  त त स  त  क क क
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001686.wav,ये आता बासा बास थोपयता ना तुका देव बरे करो म्हणता,य आता बासाबास थपयचा ना तुका देव बरें करोम म्हणटा.
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000149.wav,अणिा अनेक सां कि धिकतुमच े ावा सात दिाचो  देt दिाचो पतीच प्रत लल सात दस पा द ा ा द  ह तकअसल कााा   मच्ााा दि शक तीसा,ि के सक दी कमच स क क त का त क त त कत  क  क  क  त  क  त त क  क क  क त क क क क त क क त क   क त  क  त क क त क क सत  क क क क  क म म त क  स त  म क पत मी स त क द त क क क क म ते क े स म  म म म क ब ममता च म  मच कावत पाती ससा लदे पशीचा मार वाडो गावाफरेगा बर ताम  सा त त  क क
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002960.wav,पलवपाक सा गोची सुदरता मल्ार गोे दर्या वेलव ो आमी सलपाची ज आप आमी जाच गोचे लोक आमी खरेच मवल काे सुेा खे पण कलजा बरे ा आधाराक पावपाक  फ,पोपाक सुता गोयची सुदरता मल्यार ग म स  क क  क कक क क क क क क क त  क वत  स क क क  स क  क     स म कपाची  कर स  कक क क क क   कक कक क कक क  आजच पमी जानाच गोचे मलो आमी खरे मोवल कालसाची सुसका खर प काळसान बरेकोणाचा आधाराक पावपाक सदांच पुडे तले मणून आव ह
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003336.wav,तशेंच हांव आमचे इगर जेन सांडे स्कूल क्लासिस केताले मंटगज लानसानुच माका शिकवपाची आवड आशिले तशेंच शिक्षणा वरमी समाज बदलुंक शकता तर हे मनां दरून बुर्ग्यांचे फुडार घडवपाक हांव तेंका प्रेडणा दितले मनन,रटिस के येताली तशे हाव आम च  स त स क म क क क क क क क  स   क  क क म क क क  स स का त क क  क क क त क क क  क    क  स  स त ला सानस माका शिकपाची आवड  स  क क  तशे   शिक्षणा वर्बी समाच बस बदल शकता त हे मना दरून भुरग्याचे फुडारगोब खावत कफे नातल मणन
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001682.wav,आमची कोकनी  ु  पर,आमची कोकनी बाज आमचा फुली तरके बचू त स स स त स क  त क क  क क क क क स त क क त क क क क  त त क क क क क त क क क क क स त क  क क क क स क स म क क त क  क स त क क स त म क क म त क क क क   क क  क त स  क त क क क  क क क क क त त  कात क क त  क स क ब क क क क क त क क क क त त क क त आ ता ज क आअसम ता सा  त त  ब  क क  कय चे  त क क क क पतु की जा म क म क से त क क क त म द आ ती या  त क स स क त मनताला  स क त स क सगले प्रशनाची ज मक त बरे बश त ता क त क के त ज क द क क म क स त
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000921.wav,ब्लड जाल ा,बिलड  जाल आ  आ े बर  कबरेब प बर ीकबर बरम त ाग
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003731.wav,तेचे वितरत सारके लतजे ने,तेचे विता सारके उल जी क क     े पुरव क ब
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000942.wav,तोरो जकेनो,तरो  जतसो स  प                           क   क          ता क    मुसतव तासत  ा      त कास   ित तार प पच िग कल  ि
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001939.wav,पेशंट कआ्कएाअजाअज,पेशंताच का                   म    सका बरपाककते मस रे मनल म तुम क त   सपल ज म   च मरा  म
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001399.wav,ाो   ा ा  का ा  पा  फुा वार खार ा,ा पाव जता                    कमक  क  फुल फ
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003252.wav,स्वताक इंप्रूव करपाक वा वैर कडपाक कसले कसले स्टेप्स घेता प्ामचर असतातर पळोपाक गेल हाव माझी करियरार खूप खुश देवबरेकरू,वताक इदु करपावर कपाक कसल क असल  के             मे  पपा कल हव मी कररा कूप देव बेक
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_001194.wav,केल रल प  कपकी,का केल रल पल सद के स बर  िस ग लकरपाीर केल रवब अी वेंडी पि बची सारक
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002891.wav,लवी मरकरकककरतुका ता काम करता मतल्ा पाच वर्षा जाली तर आता तुमाका साहू शकता की व्यवसाय आनि रोजगार वा नोकरी हाच्या भितुर किते फरक दिसता तुका किे फर्क असा,ि मदरिकर आणि हाका वरत ला तेसस तत त त त क क त क त त क ता त क स ता त त त त त त त त कत क क  क क क त क त क त  त  त क  स त त क स त ता त त त त त त त त त क स क त क क क क त क त क स स  क त त क ता म क स त  त त त कत त त त त त त त त त स  क त सा क  त  त त तुकाता  काम क द मल पच वरसा जाल त त तत त  त क त त मा क साव शेकता   त त  त क त की ता व सा  त त आ म स जकार ममकरी हाचा बितर कतेर फर दिसता तक क के फ आसा    त
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000648.wav,आता मजो चवतो प्रश्न असो जाऊन असा कि नाचाच्या वेश भुशेतल्यां संस्कृतिक असमितय कशी दिसता खाैचाय वाटारातलो भेस कपडे जे अस ते त्या वाटाराचे आमी मणया की एक प्रकारचे इफॉरमशन देऊन होता ता वार,साच चतसस जनस ती तत त त तत ता त त त त  त त त त त त त त त त त क  त त त त त त त त त त त त त त त त त त त त त त त त त त क त त  त त त त त त त  त त त त त स त त  त त त तक तत त  त त त त त त त त त त त त त त त त त त त त त त  त त  त त त त त त त त  त तत त ता त त त त  त  त त त त त त त त तत त त तत त त  त त त त  त त त त त स त त त त त स त त त त त त त त त त त त त त त तातत त त त त त त त  त त त त त त  त त त त त त त त त  त त त त त त त त मा क त त पतकत ज फ म त त त ह तता त त त त त त  त तता मत क त
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_002460.wav,तदाल तरास जेता चावपियता ताआएकका पाच खाततुखातआजेत सोग सा,तगत गलेग त क त त त  ता स त त त त त स त त त त स त क क स त त त त त त त त त त त त त त त त क क त त स त त त त त त त त सा त त त स त स त त त त त त त त त त त त त त त त त त त त त त त त त त त त त त त त त त त ज त त त न त स त स क  तत तत ता त स त त त त्रस आमीका पणाट टले पा जाण  तात म त स जा पा त त त पत पा क त तय केतु पड क तल आणी ी जे तासाळा स सगल सरखे म सत
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000698.wav,ाद्यो बरे करुं मोझ्या प्रश्नांचो तुवें बरे मोगान आनी पाशेसान जवाब दिलाई महुणो तुकाय करुं ेंजिया,ादेव बरे कर मझ्या ्रश्नासो तुवेन क कक क क  क क क  बरे मोम का क स क त क क क क क क क क  क पाशे साम क   जोवप दिले मतुका करोगेसया
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_003487.wav,माझा नाव लविना रॉड्रिगिस आनी आव सेकनयरसा आी मोवश जााुाुो,माझे न लगिना रड्रिगस आणी व साकनर सा       स           स            म द   क  तुक द व ता तुकारतुचा हेला मददल कडे प्रशनावचातल माका तुचे बदलतुडी जा  स  मझे नवच   हकी सवसाची   आव पिनचे जावन असा माका फुड
/Volumes/data&proj/konkani/data/konkani-asr-v0/data/processed_segments_diarized/audio_segments/segment_000811.wav,तेह सारके जाव येसर उचारुत असुंदी तातूंत इ्ले मिड गालप मदीमदी चमचो गालून तेह हलयात एकदा जाले की चुरीवयले काडून सायडिक दवरात मागीर एक कुडको घेवून तेह आयदणाक परते करात तातूंत असा तोनीवल कुशीक काडप,ते सारके साव हेसा म शा स त तत क स स स स त त क स स स त क क त त क त स त त क  त  त क त क सत क स स त क स म त स त स त  स स त ता म त त क क त त त स त त त स स त क स त क स स त त त स त  त स त स तम तक त जाल ले स स स स   तत क त स त त स त स सुरी वले कारून सली दवराक मगी एक कुडको गेवन तेक आजोणा परते करात तातू कसो तो निवन खुशक क  स क
